RequestDate,RequestTimestamp,nothing0,nothing777,nothingDD,nothingDD2,nothingSomething,nothingNothing,id0,name,symbol,slug,numMarketPairs,dateAdded,tags,tags2,tags3,tags4,tags5,tags6,tags7,tags8,tags9,tags10,tags11,tags12,tags13,tags14,tags15,tags16,tags17,tags18,tags19,tags20,tags21,tags22,tags23,tags24,tags25,tags26,tags27,tags28,tags29,maxSupply,circulatingSupply,totalSupply,nothing2,id,name2,symbol2,slug2,hashUnk,RandomHash,rowId,lastUpdated, price ,volume24h,percentChange1h,percentChange24h,percentChange7Days,percentChange30Days,percentChange60Days,percentChange90Days,marketCap,lastUpdated1,marketCapDividedByPrice,totalSupplyDividedbyMarketCap,marketCapDividedbyTotalSupply,previousMarketCap,latestMarketCapVSprevious
6/28/2021,,,,,,,,4687,Binance USD,BUSD,binance-usd,776,2019-09-20T00:00:00.000Z,stablecoin,stablecoin-asset-backed,binance-chain,binance-smart-chain,,,,,,,,,,,,,,,,,,,,,,,,,,,10046353813,10046353813,,1839,Binance Chain,BNB,binance-coin,BUSD-BD1,,11,2021-06-29T00:01:06.000Z,$1.00 ,"$4,282,591,760.02 ",-1.01%,-6.15%,-5.35%,1.59%,-0.72%,-7.78%,"$10,044,741,278.53 ",2021-06-29T00:01:06.000Z,"10,046,353,813.28",1,1,"$10,044,741,278.53 ",$0.00 
6/28/2021,,,,,,,,1831,Bitcoin Cash,BCH,bitcoin-cash,566,2017-07-23T00:00:00.000Z,mineable,pow,sha-256,marketplace,medium-of-exchange,store-of-value,enterprise-solutions,payments,binance-chain,,,,,,,,,,,,,,,,,,,,,21000000,18775912.5,18775912.5,,,,,,,,12,2021-06-29T00:00:18.000Z,$501.24 ,"$1,465,864,500.40 ",-22.65%,496.17%,989.68%,-2308.26%,-4299.69%,-512.25%,"$9,411,290,170.65 ",2021-06-29T00:00:18.000Z,"18,775,912.50",0,501.24,"$9,411,290,170.65 ",$0.00 
6/28/2021,,,,,,,,2,Litecoin,LTC,litecoin,727,2013-04-28T00:00:00.000Z,mineable,pow,scrypt,medium-of-exchange,binance-chain,,,,,,,,,,,,,,,,,,,,,,,,,84000000,66752414.52,66752414.52,,,,,,,,13,2021-06-29T00:01:02.000Z,$138.15 ,"$1,869,700,824.98 ",62.39%,419.45%,1170.22%,-1529.90%,-4588.91%,-2973.61%,"$9,221,521,554.46 ",2021-06-29T00:01:02.000Z,"66,752,414.52",0.01,138.15,"$9,221,521,554.46 ",$0.00 
6/28/2021,,,,,,,,5426,Solana,SOL,solana,66,2020-04-10T00:00:00.000Z,dpos,platform,solana-ecosystem,cms-holdings-portfolio,kinetic-capital,alameda-research-portfolio,multicoin-capital-portfolio,,,,,,,,,,,,,,,,,,,,,,,,272637427.6,494519161.7,,,,,,,,14,2021-06-29T00:01:05.000Z,$33.07 ,"$473,608,093.46 ",44.05%,397.97%,2504.14%,2044.82%,-2211.96%,7326.27%,"$9,017,074,498.34 ",2021-06-29T00:01:05.000Z,"272,637,427.58",0.05,18.23,"$9,017,074,498.34 ",$0.00 
6/28/2021,,,,,,,,1975,Chainlink,LINK,chainlink,488,2017-09-20T00:00:00.000Z,platform,defi,oracles,smart-contracts,substrate,polkadot,polkadot-ecosystem,avalanche-ecosystem,solana-ecosystem,framework-ventures,polygon-ecosystem,,,,,,,,,,,,,,,,,,,1000000000,435509553.9,1000000000,,1027,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,,15,2021-06-29T00:00:20.000Z,$18.81 ,"$925,506,022.56 ",-69.47%,233.58%,786.58%,-2567.91%,-4835.37%,-3259.33%,"$8,192,376,027.42 ",2021-06-29T00:00:20.000Z,"435,509,553.92",0.12,8.19,"$8,192,376,027.42 ",$0.00 
6/28/2021,,,,,,,,3890,Polygon,MATIC,polygon,142,2019-04-28T00:00:00.000Z,platform,enterprise-solutions,state-channels,coinbase-ventures-portfolio,binance-launchpad,binance-labs-portfolio,polygon-ecosystem,,,,,,,,,,,,,,,,,,,,,,,10000000000,6303422325,10000000000,,,,,,,,16,2021-06-29T00:01:07.000Z,$1.12 ,"$726,578,458.14 ",2.46%,81.09%,165.16%,-3377.88%,2582.46%,20087.64%,"$7,067,829,457.15 ",2021-06-29T00:01:07.000Z,"6,303,422,325.00",1.41,0.71,"$7,067,829,457.15 ",$0.00 
6/28/2021,,,,,,,,2416,THETA,THETA,theta,60,2018-01-17T00:00:00.000Z,media,collectibles-nfts,content-creation,video,huobi-capital,,,,,,,,,,,,,,,,,,,,,,,,,1000000000,1000000000,1000000000,,,,,,,,17,2021-06-29T00:01:05.000Z,$6.93 ,"$224,199,796.12 ",14.46%,17.33%,603.86%,976.31%,-3632.73%,-4659.26%,"$6,933,618,554.61 ",2021-06-29T00:01:05.000Z,"1,000,000,000.00",0.14,6.93,"$6,933,618,554.61 ",$0.00 
6/28/2021,,,,,,,,8916,Internet Computer,ICP,internet-computer,36,2021-03-23T00:00:00.000Z,platform,distributed-computing,polychain-capital-portfolio,exnetwork-capital-portfolio,,,,,,,,,,,,,,,,,,,,,,,,,,,135173634.1,470638707.2,,,,,,,,18,2021-06-29T00:00:10.000Z,$51.09 ,"$751,148,964.29 ",478.96%,1900.54%,3902.78%,-5387.38%,0.00%,0.00%,"$6,905,405,615.47 ",2021-06-29T00:00:10.000Z,"135,173,634.05",0.07,14.67,"$6,905,405,615.47 ",$0.00 
6/28/2021,,,,,,,,3717,Wrapped Bitcoin,WBTC,wrapped-bitcoin,123,2019-01-30T00:00:00.000Z,medium-of-exchange,defi,wrapped-tokens,,,,,,,,,,,,,,,,,,,,,,,,,,,,194125.384,194125.384,,1027,Ethereum,ETH,ethereum,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,,19,2021-06-29T00:01:07.000Z,"$34,389.28 ","$266,013,280.23 ",-6.53%,-71.66%,859.18%,-88.78%,-3590.54%,-4158.42%,"$6,675,831,906.69 ",2021-06-29T00:01:07.000Z,"194,125.38",0,"34,389.28","$6,675,831,906.69 ",$0.00 
6/28/2021,,,,,,,,512,Stellar,XLM,stellar,345,2014-08-05T00:00:00.000Z,medium-of-exchange,enterprise-solutions,decentralized-exchange,smart-contracts,hashkey-capital-portfolio,,,,,,,,,,,,,,,,,,,,,,,,,50001806812,23207246228,50001803074,,,,,,,,20,2021-06-29T00:01:06.000Z,$0.26 ,"$408,751,497.45 ",51.74%,143.70%,1161.74%,-2808.85%,-4628.25%,-3497.40%,"$6,125,816,258.83 ",2021-06-29T00:01:06.000Z,"23,207,246,227.67",8.16,0.12,"$6,125,816,258.83 ",$0.00 
6/28/2021,,,,,,,,4943,Dai,DAI,multi-collateral-dai,419,2019-11-22T00:00:00.000Z,defi,stablecoin,ethereum,binance-smart-chain,avalanche-ecosystem,polygon-ecosystem,,,,,,,,,,,,,,,,,,,,,,,,,5187326475,5187326963,,1027,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,,21,2021-06-29T00:00:19.000Z,$1.00 ,"$324,100,866.29 ",-5.45%,-20.41%,-9.18%,0.75%,3.80%,-34.52%,"$5,189,766,102.73 ",2021-06-29T00:00:19.000Z,"5,187,326,474.63",1,1,"$5,189,766,102.73 ",$0.00 
6/28/2021,,,,,,,,3077,VeChain,VET,vechain,128,2017-08-22T00:00:00.000Z,logistics,data-provenance,iot,smart-contracts,fenbushi-capital-portfolio,,,,,,,,,,,,,,,,,,,,,,,,,86712634466,64315576989,86712634466,,,,,,,,22,2021-06-29T00:01:02.000Z,$0.08 ,"$581,388,577.74 ",-15.54%,192.07%,893.04%,-1955.89%,-5835.12%,-1131.33%,"$5,115,668,439.44 ",2021-06-29T00:01:02.000Z,"64,315,576,989.00",16.95,0.06,"$5,115,668,439.44 ",$0.00 
6/28/2021,,,,,,,,1321,Ethereum Classic,ETC,ethereum-classic,272,2016-07-24T00:00:00.000Z,mineable,pow,ethash,platform,smart-contracts,dcg-portfolio,,,,,,,,,,,,,,,,,,,,,,,,210700000,116313299,116313299,,,,,,,,23,2021-06-29T00:01:05.000Z,$43.44 ,"$1,957,092,365.74 ",17.20%,243.45%,930.19%,-3239.51%,2585.26%,23351.43%,"$5,052,224,790.43 ",2021-06-29T00:01:05.000Z,"116,313,299.00",0.02,43.44,"$5,052,224,790.43 ",$0.00 
6/28/2021,,,,,,,,1958,TRON,TRX,tron,509,2017-09-13T00:00:00.000Z,media,payments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71659657369,1.00851E+11,,,,,,,,24,2021-06-29T00:00:19.000Z,$0.07 ,"$801,519,919.54 ",11.97%,79.13%,2171.17%,-497.47%,-4601.93%,-132.70%,"$4,679,957,448.94 ",2021-06-29T00:00:19.000Z,"71,659,657,369.49",21.55,0.05,"$4,679,957,448.94 ",$0.00 
6/28/2021,,,,,,,,2280,Filecoin,FIL,filecoin,129,2017-12-13T00:00:00.000Z,mineable,distributed-computing,filesharing,storage,polychain-capital-portfolio,blockchain-capital-portfolio,boostvc-portfolio,dcg-portfolio,hashkey-capital-portfolio,a16z-portfolio,winklevoss-capital,pantera-capital-portfolio,,,,,,,,,,,,,,,,,,,82730710,82730710,,,,,,,,25,2021-06-29T00:01:04.000Z,$56.52 ,"$552,503,114.70 ",33.95%,60.31%,2223.89%,-1723.29%,-6224.54%,-6243.78%,"$4,675,572,202.01 ",2021-06-29T00:01:04.000Z,"82,730,710.00",0.02,56.52,"$4,675,572,202.01 ",$0.00 
6/28/2021,,,,,,,,328,Monero,XMR,monero,166,2014-05-21T00:00:00.000Z,mineable,pow,medium-of-exchange,privacy,ringct,boostvc-portfolio,electric-capital-portfolio,galaxy-digital-portfolio,,,,,,,,,,,,,,,,,,,,,,,17941641.97,17941641.97,,,,,,,,26,2021-06-29T00:01:04.000Z,$213.45 ,"$190,451,487.89 ",48.68%,82.56%,491.72%,-1186.49%,-4757.88%,-1288.18%,"$3,829,635,408.94 ",2021-06-29T00:01:04.000Z,"17,941,641.97",0,213.45,"$3,829,635,408.94 ",$0.00 
6/28/2021,,,,,,,,1765,EOS,EOS,eos,446,2017-07-01T00:00:00.000Z,medium-of-exchange,enterprise-solutions,smart-contracts,binance-chain,fenbushi-capital-portfolio,galaxy-digital-portfolio,,,,,,,,,,,,,,,,,,,,,,,,,954732534,1030816279,,,,,,,,27,2021-06-29T00:00:11.000Z,$3.85 ,"$878,442,469.14 ",-21.52%,197.27%,928.94%,-3596.01%,-3470.65%,-1171.79%,"$3,673,703,749.29 ",2021-06-29T00:00:11.000Z,"954,732,533.99",0.28,3.56,"$3,673,703,749.29 ",$0.00 
6/28/2021,,,,,,,,5994,SHIBA INU,SHIB,shiba-inu,88,2020-08-01T00:00:00.000Z,memes,doggone-doggerel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.94796E+14,1.00E+15,,1027,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,,28,2021-06-29T00:01:08.000Z,$0.00 ,"$512,120,507.44 ",109.57%,335.25%,2959.28%,297.59%,47887.59%,1434925.10%,"$3,193,457,460.58 ",2021-06-29T00:01:08.000Z,"394,796,000,000,000.00","313,140.23",0,"$3,193,457,460.58 ",$0.00 
6/28/2021,,,,,,,,7278,Aave,AAVE,aave,210,2020-10-02T00:00:00.000Z,defi,dao,yield-farming,three-arrows-capital-portfolio,governance,lending-borowing,blockchain-capital-portfolio,defiance-capital,framework-ventures,alameda-research-portfolio,pantera-capital-portfolio,parafi-capital,polygon-ecosystem,,,,,,,,,,,,,,,,,16000000,12827634.91,16000000,,1027,Ethereum,ETH,ethereum,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,,29,2021-06-29T00:01:03.000Z,$227.75 ,"$340,782,699.61 ",101.10%,1231.81%,681.33%,-2353.16%,-4813.81%,-3914.56%,"$2,921,462,628.09 ",2021-06-29T00:01:03.000Z,"12,827,634.91",0.01,182.59,"$2,921,462,628.09 ",$0.00 
6/28/2021,,,,,,,,3602,Bitcoin SV,BSV,bitcoin-sv,196,2018-11-09T00:00:00.000Z,mineable,pow,sha-256,medium-of-exchange,store-of-value,state-channels,,,,,,,,,,,,,,,,,,,,,,,,21000000,18772932.89,18772932.89,,,,,,,,30,2021-06-29T00:01:07.000Z,$153.86 ,"$1,159,006,422.19 ",-109.81%,1735.80%,2375.35%,-652.68%,-4547.89%,-2657.20%,"$2,888,417,064.29 ",2021-06-29T00:01:07.000Z,"18,772,932.89",0.01,153.86,"$2,888,417,064.29 ",$0.00 
6/28/2021,,,,,,,,3635,Crypto.com Coin,CRO,crypto-com-coin,109,2018-12-14T00:00:00.000Z,medium-of-exchange,cosmos-ecosystem,centralized-exchange,mobile,payments,,,,,,,,,,,,,,,,,,,,,,,,,30263013692,25263013692,30263013692,,1027,Ethereum,ETH,ethereum,0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,,31,2021-06-29T00:01:06.000Z,$0.11 ,"$56,949,804.19 ",38.27%,249.70%,1951.65%,-235.00%,-4092.97%,-5075.13%,"$2,751,887,413.53 ",2021-06-29T00:01:06.000Z,"25,263,013,692.00",11,0.09,"$2,751,887,413.53 ",$0.00 
6/28/2021,,,,,,,,4030,Algorand,ALGO,algorand,131,2019-06-20T00:00:00.000Z,pos,platform,research,smart-contracts,arrington-xrp-capital,kinetic-capital,usv-portfolio,multicoin-capital-portfolio,exnetwork-capital-portfolio,,,,,,,,,,,,,,,,,,,,,10000000000,3095351362,5578146259,,,,,,,,32,2021-06-29T00:00:18.000Z,$0.84 ,"$101,269,961.32 ",7.10%,92.78%,1144.56%,139.67%,-3640.69%,-3657.70%,"$2,607,923,986.89 ",2021-06-29T00:00:18.000Z,"3,095,351,362.40",2.14,0.47,"$2,607,923,986.89 ",$0.00 
6/28/2021,,,,,,,,4023,Bitcoin BEP2,BTCB,bitcoin-bep2,38,2019-06-18T00:00:00.000Z,binance-chain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73094.95527,80501,,1839,Binance Chain,BNB,binance-coin,BTCB-1DE,,33,2021-06-29T00:00:20.000Z,"$34,404.52 ","$40,703,685.39 ",-11.14%,-61.70%,837.26%,-50.66%,-3582.69%,-4219.44%,"$2,514,796,617.85 ",2021-06-29T00:00:20.000Z,"73,094.96",0,"31,239.32","$2,514,796,617.85 ",$0.00 
6/28/2021,,,,,,,,4256,Klaytn,KLAY,klaytn,48,2020-03-30T00:00:00.000Z,platform,enterprise-solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2481043070,10606679133,,,,,,,,34,2021-06-29T00:01:03.000Z,$1.01 ,"$83,648,025.30 ",-44.74%,68.60%,2353.15%,-2658.66%,-5762.22%,-7637.56%,"$2,496,973,524.36 ",2021-06-29T00:01:03.000Z,"2,481,043,070.40",4.25,0.24,"$2,496,973,524.36 ",$0.00 
6/28/2021,,,,,,,,7186,PancakeSwap,CAKE,pancakeswap,96,2020-09-25T00:00:00.000Z,decentralized-exchange,defi,yield-farming,binance-chain,amm,binance-smart-chain,,,,,,,,,,,,,,,,,,,,,,,,,187690690.4,187690690.4,,1839,Binance Smart Chain,BNB,binance-coin,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,,35,2021-06-29T00:01:02.000Z,$13.34 ,"$301,126,608.68 ",33.62%,242.21%,1096.06%,-867.64%,-6840.25%,-2957.27%,"$2,502,912,899.22 ",2021-06-29T00:01:02.000Z,"187,690,690.42",0.07,13.34,"$2,502,912,899.22 ",$0.00 
6/28/2021,,,,,,,,6945,Amp,AMP,amp,23,2020-09-08T00:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92547638199,42227702186,99213408535,,1027,Ethereum,ETH,ethereum,0xff20817765cb7f73d4bde2e66e067e58d11095c2,,36,2021-06-29T00:01:07.000Z,$0.06 ,"$35,504,443.22 ",-135.08%,-512.43%,-1271.34%,7569.01%,1333.06%,11290.10%,"$2,475,295,300.93 ",2021-06-29T00:01:07.000Z,"42,227,702,186.00",40.08,0.02,"$2,475,295,300.93 ",$0.00 
6/28/2021,,,,,,,,4195,FTX Token,FTT,ftx-token,48,2019-07-31T00:00:00.000Z,marketplace,centralized-exchange,derivatives,cms-holdings-portfolio,kinetic-capital,alameda-research-portfolio,pantera-capital-portfolio,exnetwork-capital-portfolio,,,,,,,,,,,,,,,,,,,,,,339228639,94346957.52,345219293.6,,1839,Binance Chain,BNB,binance-coin,FTT-F11,,37,2021-06-29T00:01:03.000Z,$25.58 ,"$32,385,572.89 ",10.34%,420.04%,228.52%,-1555.38%,-5111.07%,-3628.12%,"$2,413,810,024.52 ",2021-06-29T00:01:03.000Z,"94,346,957.52",0.14,6.99,"$2,413,810,024.52 ",$0.00 
6/28/2021,,,,,,,,1376,Neo,NEO,neo,247,2016-09-08T00:00:00.000Z,platform,enterprise-solutions,smart-contracts,,,,,,,,,,,,,,,,,,,,,,,,,,,100000000,70538831,100000000,,,,,,,,38,2021-06-29T00:01:05.000Z,$33.24 ,"$485,675,641.36 ",72.94%,390.47%,332.33%,-3364.27%,-6291.87%,-2617.35%,"$2,344,363,020.63 ",2021-06-29T00:01:05.000Z,"70,538,831.00",0.04,23.44,"$2,344,363,020.63 ",$0.00 
6/28/2021,,,,,,,,4172,Terra,LUNA,terra-luna,63,2019-07-26T00:00:00.000Z,cosmos-ecosystem,store-of-value,defi,payments,stablecoin-algorithmically-stabilized,coinbase-ventures-portfolio,binance-labs-portfolio,solana-ecosystem,arrington-xrp-capital,hashkey-capital-portfolio,kinetic-capital,huobi-capital,pantera-capital-portfolio,,,,,,,,,,,,,,,,,,417723843.2,995383396.1,,,,,,,,39,2021-06-29T00:01:03.000Z,$5.56 ,"$98,186,240.59 ",10.82%,261.07%,1497.93%,127.86%,-6576.15%,-7020.96%,"$2,322,945,540.66 ",2021-06-29T00:01:03.000Z,"417,723,843.18",0.43,2.33,"$2,322,945,540.66 ",$0.00 
6/28/2021,,,,,,,,3957,UNUS SED LEO,LEO,unus-sed-leo,16,2019-05-21T00:00:00.000Z,marketplace,centralized-exchange,discount-token,payments,arrington-xrp-capital,kinetic-capital,alameda-research-portfolio,,,,,,,,,,,,,,,,,,,,,,,,953954130,985239504,,1027,Ethereum,ETH,ethereum,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,,40,2021-06-29T00:00:14.000Z,$2.42 ,"$3,998,417.63 ",95.67%,1589.50%,-302.37%,1644.95%,336.27%,1677.14%,"$2,303,873,307.13 ",2021-06-29T00:00:14.000Z,"953,954,130.00",0.43,2.34,"$2,303,873,307.13 ",$0.00 
6/28/2021,,,,,,,,2011,Tezos,XTZ,tezos,162,2017-10-06T00:00:00.000Z,pos,platform,enterprise-solutions,collectibles-nfts,smart-contracts,polychain-capital-portfolio,boostvc-portfolio,winklevoss-capital,,,,,,,,,,,,,,,,,,,,,,,850778250.5,880797677.2,,,,,,,,41,2021-06-29T00:00:20.000Z,$2.70 ,"$58,606,657.43 ",74.02%,303.56%,835.33%,-1569.03%,-4835.92%,-4115.90%,"$2,300,132,802.45 ",2021-06-29T00:00:20.000Z,"850,778,250.55",0.38,2.61,"$2,300,132,802.45 ",$0.00 
6/28/2021,,,,,,,,3794,Cosmos,ATOM,cosmos,169,2019-03-14T00:00:00.000Z,platform,cosmos-ecosystem,content-creation,interoperability,binance-chain,polychain-capital-portfolio,dragonfly-capital-portfolio,hashkey-capital-portfolio,1confirmation-portfolio,paradigm-xzy-screener,exnetwork-capital-portfolio,,,,,,,,,,,,,,,,,,,,210767262.8,268551865.8,,,,,,,,42,2021-06-29T00:01:07.000Z,$10.97 ,"$159,763,782.40 ",318.12%,785.59%,1493.11%,-896.40%,-5070.82%,-4518.00%,"$2,311,286,744.68 ",2021-06-29T00:01:07.000Z,"210,767,262.76",0.12,8.61,"$2,311,286,744.68 ",$0.00 
